cuisine_id	category_name_en	cuisine_name_en	language_codes	osm_cuisine	emoji	type
LK	Asia > South	Sri Lankan	si, ta	sri_lankan	🇱🇰	ethnic/national
MA	Middle Eastern & North African	Moroccan	ar	moroccan	🇲🇦	ethnic/national
MENA.KEBAB	Middle Eastern & North African	Middle Eastern > Kebab	tr	kebab	🥙	food
MENA.MIDDLEEAST.OTHER	Middle Eastern & North African	Other (Middle Eastern)	ar, fa, he	middle_eastern		catchall
MENA.MIDDLEEAST.PAN	Middle Eastern & North African	Pan-Middle Eastern	ar, fa, he			panregional
MENA.NORTHAFRICA.OTHER	Middle Eastern & North African	Other (North African)	ar, fr			catchall
MM	Asia > Southeast	Burmese	my		🇲🇲	ethnic/national
MN	Asia > Other	Mongolian	mn	mongolian	🇲🇳	ethnic/national
MX	Americas > South & Central	Mexican	es	mexican	🇲🇽	ethnic/national
MY	Asia > Southeast	Malaysian	ms, zh	malaysian	🇲🇾	ethnic/national
NL	Europe > Central & West	Dutch	nl	dutch	🇳🇱	ethnic/national
NO	Europe > Nordic & North Atlantic	Norwegian	nb		🇳🇴	ethnic/national
NP	Asia > Other	Nepalese	ne, en, hi	nepalese	🇳🇵	ethnic/national
OCEA.PACIFICISLAND.OTHER	Oceanian	Other (Pacific Island)	en			catchall
OTHER	Other	Other	en			catchall
PE	Americas > South & Central	Peruvian	es	peruvian	🇵🇪	ethnic/national
PH	Asia > Southeast	Filipino	tl, en	filipino	🇵🇭	ethnic/national
PK	Asia > South	Pakistani	ur	pakistani	🇵🇰	ethnic/national
PL	Europe > Central & West	Polish	pl	polish	🇵🇱	ethnic/national
PT	Europe > Southern & Mediterranean	Portuguese	pt	portuguese	🇵🇹	ethnic/national
RU	Europe > Eastern & Caucasian	Russian	ru	russian	🇷🇺	ethnic/national
SE	Europe > Nordic & North Atlantic	Swedish	sv	swedish	🇸🇪	ethnic/national
SG	Asia > Southeast	Singaporean	en, zh, ms, ta	singaporean	🇸🇬	ethnic/national
SK	Europe > Central & West	Slovak	sk		🇸🇰	ethnic/national
SN	African (Sub-Saharan)	Senegalese	wo, fr	senegalese	🇸🇳	ethnic/national
SV	Americas > South & Central	Salvadoran	es		🇸🇻	ethnic/national
TH	Asia > Southeast	Thai	th	thai	🇹🇭	ethnic/national
TR	Middle Eastern & North African	Turkish	tr	turkish	🇹🇷	ethnic/national
TW	Asia > East	Chinese > Taiwanese	zh-Hant	taiwanese	🇹🇼	ethnic/national
UA	Europe > Eastern & Caucasian	Ukrainian	uk	ukrainian	🇺🇦	ethnic/national
US	Americas > North	American	en	american	🇺🇸	ethnic/national
US.BARBECUE	Americas > North	American > Barbecue	en	barbecue		style
US.BURGER	Americas > North	American > Burger	en	burger	🍔	food
US.CA	Americas > North	American > Californian	en			subregional
US.CAJUN	Americas > North	American > Southern > Cajun	en	cajun		subregional
US.DINER	Americas > North	American > Diner	en	diner		style
US.HI.POKE	Oceanian	Hawaiian > Poke	en, haw	poke		food
US.NEWENGLAND	Americas > North	American > New England	en			subregional
US.PIZZA	Americas > North	American > Pizza	en, it	pizza	🍕	food
US.SOUL	Americas > North	American > Southern > Soul Food	en	southern		subregional
